year,day, t_mean, t_max, t_min, I, nee
2.012e+03,1.000e+00,1.037e+01,1.167e+01,6.960e+00,1.280e+00,2.252e+00
2.012e+03,2.000e+00,5.566e+00,7.320e+00,3.790e+00,4.050e+00,1.276e+00
2.012e+03,3.000e+00,8.337e+00,1.178e+01,5.270e+00,1.084e+00,-6.053e-03
2.012e+03,4.000e+00,6.495e+00,8.860e+00,4.350e+00,2.039e+00,1.320e+00
2.012e+03,5.000e+00,9.125e+00,1.137e+01,6.450e+00,3.481e+00,nan
2.012e+03,6.000e+00,6.580e+00,8.500e+00,3.230e+00,4.119e+00,nan
2.012e+03,7.000e+00,8.671e+00,1.019e+01,6.760e+00,3.923e+00,1.461e+00
2.012e+03,8.000e+00,8.115e+00,9.320e+00,6.960e+00,2.380e+00,1.875e+00
2.012e+03,9.000e+00,9.789e+00,1.142e+01,8.810e+00,2.885e+00,1.504e+00
2.012e+03,1.000e+01,9.042e+00,1.024e+01,7.940e+00,2.628e+00,1.246e+00
2.012e+03,1.100e+01,7.832e+00,9.630e+00,6.500e+00,2.213e+00,1.119e+00
2.012e+03,1.200e+01,7.549e+00,1.167e+01,3.740e+00,2.357e+00,1.158e+00
2.012e+03,1.300e+01,2.347e+00,6.200e+00,-2.250e+00,4.372e+00,nan
2.012e+03,1.400e+01,-1.423e-01,5.430e+00,-4.970e+00,4.616e+00,1.590e+00
2.012e+03,1.500e+01,3.032e+00,5.580e+00,7.200e-01,4.200e+00,8.803e-01
2.012e+03,1.600e+01,1.474e+00,6.090e+00,-1.330e+00,5.225e+00,1.137e+00
2.012e+03,1.700e+01,-1.625e-02,3.640e+00,-4.250e+00,3.372e+00,nan
2.012e+03,1.800e+01,8.892e+00,1.142e+01,3.230e+00,9.451e-01,nan
2.012e+03,1.900e+01,9.486e+00,1.142e+01,5.840e+00,2.916e+00,1.548e+00
2.012e+03,2.000e+01,7.600e+00,9.680e+00,4.920e+00,2.496e+00,1.298e+00
2.012e+03,2.100e+01,9.814e+00,1.208e+01,6.710e+00,2.488e+00,1.522e+00
2.012e+03,2.200e+01,7.691e+00,1.085e+01,4.970e+00,3.199e+00,1.085e+00
2.012e+03,2.300e+01,5.191e+00,8.190e+00,2.820e+00,3.154e+00,1.157e+00
2.012e+03,2.400e+01,5.650e+00,9.880e+00,5.000e-02,1.096e+00,nan
2.012e+03,2.500e+01,8.548e+00,9.570e+00,7.580e+00,1.475e+00,2.609e+00
2.012e+03,2.600e+01,6.160e+00,8.760e+00,2.300e+00,4.791e+00,1.944e+00
2.012e+03,2.700e+01,4.132e+00,7.830e+00,1.540e+00,5.610e+00,6.155e-01
2.012e+03,2.800e+01,3.654e+00,5.220e+00,2.410e+00,3.275e+00,1.172e+00
2.012e+03,2.900e+01,2.474e+00,3.640e+00,1.430e+00,2.783e+00,nan
2.012e+03,3.000e+01,9.473e-01,3.020e+00,-2.300e+00,3.692e+00,nan
2.012e+03,3.100e+01,-5.927e-01,1.740e+00,-2.410e+00,4.607e+00,7.079e-01
2.012e+03,3.200e+01,7.208e-02,2.460e+00,-1.840e+00,6.895e+00,nan
2.012e+03,3.300e+01,-1.770e+00,6.700e-01,-4.040e+00,7.497e+00,nan
2.012e+03,3.400e+01,-3.077e+00,5.100e-01,-5.890e+00,6.931e+00,nan
2.012e+03,3.500e+01,-2.554e+00,1.280e+00,-8.550e+00,6.358e+00,nan
2.012e+03,3.600e+01,6.727e-01,1.690e+00,5.000e-02,2.474e+00,nan
2.012e+03,3.700e+01,1.295e+00,3.020e+00,-5.000e-02,2.501e+00,nan
2.012e+03,3.800e+01,-1.144e-01,3.070e+00,-4.300e+00,6.143e+00,nan
2.012e+03,3.900e+01,-1.390e+00,-3.100e-01,-4.200e+00,1.506e+00,6.648e-01
2.012e+03,4.000e+01,-1.126e+00,3.100e-01,-2.460e+00,4.884e+00,nan
2.012e+03,4.100e+01,-1.281e+00,5.100e-01,-6.250e+00,5.353e+00,-3.223e-01
2.012e+03,4.200e+01,-4.706e+00,5.100e-01,-1.065e+01,9.663e+00,nan
2.012e+03,4.300e+01,-1.232e+00,4.250e+00,-9.110e+00,4.413e+00,nan
2.012e+03,4.400e+01,4.263e+00,6.450e+00,2.460e+00,3.308e+00,1.183e+00
