date,nee,qc,Day,T,Rg
01/01/2012 00:00,1.204437,2,1,11.52,-0.14
01/01/2012 00:30,3.677261168,0,1.020833333,11.57,-0.43
01/01/2012 01:00,3.406602426,0,1.041666667,11.52,-0.43
01/01/2012 01:30,2.764843676,0,1.0625,11.47,-0.43
01/01/2012 02:00,3.006593643,0,1.083333333,11.32,-0.71
01/01/2012 02:30,3.163740031,0,1.104166667,11.21,-0.43
01/01/2012 03:00,4.772842682,0,1.125,11.37,-0.71
01/01/2012 03:30,1.204437112,1,1.145833333,11.42,-0.71
01/01/2012 04:00,1.732408348,0,1.166666667,11.42,-0.71
01/01/2012 04:30,3.971745591,0,1.1875,11.42,-0.43
01/01/2012 05:00,2.044497548,0,1.208333333,11.32,-0.14
01/01/2012 05:30,2.191794831,0,1.229166667,11.32,0.14
01/01/2012 06:00,2.621708856,0,1.25,11.32,0.14
01/01/2012 06:30,2.15662591,0,1.270833333,11.26,0.14
01/01/2012 07:00,3.81959046,0,1.291666667,11.06,0.14
01/01/2012 07:30,4.873359281,0,1.3125,10.96,0.14
01/01/2012 08:00,4.663799495,0,1.333333333,10.96,0.21
01/01/2012 08:30,4.968732137,0,1.354166667,11.06,1.5
01/01/2012 09:00,2.86414078,0,1.375,11.26,13.29
01/01/2012 09:30,2.373942452,1,1.395833333,11.42,35.79
01/01/2012 10:00,-0.99489287,0,1.416666667,11.57,65.29
01/01/2012 10:30,2.42262817,0,1.4375,11.52,101.93
01/01/2012 11:00,1.790522525,0,1.458333333,11.67,122.29
01/01/2012 11:30,1.320575171,0,1.479166667,11.67,109.57
01/01/2012 12:00,0.506587759,0,1.5,11.67,93.07
01/01/2012 12:30,1.587643088,0,1.520833333,11.52,75.43
01/01/2012 13:00,2.821959308,0,1.541666667,11.42,62.93
01/01/2012 13:30,1.146405096,0,1.5625,10.75,23.07
01/01/2012 14:00,1.338521622,0,1.583333333,10.19,15.86
01/01/2012 14:30,3.10060701,0,1.604166667,10.04,8.07
01/01/2012 15:00,1.293903126,0,1.625,9.78,6.14
01/01/2012 15:30,2.708922136,0,1.645833333,9.63,5.29
